name,reading,biography,period
萩本欽一,はぎもときんいち,日本のコメディアン・タレント・司会者(1941-)。愛称は「欽ちゃん」。コント55号として坂上二郎と共に活動し、その後『欽ちゃんのドンとやってみよう!』などのバラエティ番組で司会者として活躍。独特の間とアドリブで視聴者を魅了し、「欽ちゃん走り」「なんてったってアイドル」などの流行語を生み出した。「人を笑わせるのは人を泣かせるより難しい」「テレビは家族で見るものだから、みんなが笑えるものを作りたい」という信念で、健全で温かいお笑いを追求し続けた。その人柄と芸風は多くの後進芸人に影響を与え、日本のお笑い界の父的存在として尊敬されている。,
立川談志,たてかわだんし,日本の落語家・政治家(1936-2011)。本名は松岡克由。立川流家元として革新的な落語を追求し、「現代の名人」と称された。従来の落語の型にとらわれない自由な芸風で話題を呼び、「落語とは人間の業の肯定である」という独自の落語論を展開した。政治家として参議院議員も務め、歯に衣着せぬ発言で注目を集めた。「落語家は芸人じゃない、落語という芸を背負った人間だ」「笑いは文化である」など、芸道に対する深い思いを込めた言葉を残している。その破天荒で革新的な姿勢は多くの落語家に影響を与え、現代落語界の発展に大きく貢献した。,元
ダライ・ラマ14世,だらい・らま14せい,1935年生まれのチベット仏教の最高指導者。中国のチベット侵攻後、インドに亡命し、チベット亡命政府を率いている。1989年にノーベル平和賞を受賞。「慈悲」と「非暴力」の教えを説き、世界平和のために活動している。「私の宗教は親切です」という言葉で知られ、宗教の枠を超えた普遍的な価値を説いている。科学との対話を重視し、仏教と現代科学の融合を図っている。世界各国で講演を行い、多くの人々に仏教の智慧を伝えている。その温かい人柄と深い智慧は宗教の違いを超えて多くの人々に愛されている。,現代
ティク・ナット・ハン,てぃく・なっと・はん,1926年生まれのベトナム出身の禅僧。ベトナム戦争中に平和活動を行い、「エンゲイジド・ブッディズム」(社会参加仏教)を提唱した。マインドフルネスの実践を世界に広め、日常生活の中での瞑想を説いた。「今この瞬間に生きる」ことの大切さを説き、現代人のストレス解消に大きな影響を与えた。「歩く瞑想」「食べる瞑想」など、日常の行為すべてを修行とする教えで知られる。平和活動家としても活動し、非暴力による社会変革を訴えた。その教えは現在、世界中のマインドフルネス実践者に大きな影響を与えている。,現代
ヴィクトール・フランクル,?ぃくとーるふらんくる,オーストリアの心理学者。第二次世界大戦中にナチスの強制収容所に収容され、極限状況での人間の精神力について研究した。「人間は自分に起こることを選択できないが、それにどう対処するかは選択できる」「困難の中にこそ、人生の意味がある」など、逆境と希望に関する深い名言を残している。『夜と霧』で収容所体験を記録し、ロゴセラピーという心理療法を開発した。最も過酷な状況でも希望を失わず、人間の尊厳を守り続けた。彼の言葉は、どんな困難も乗り越えられる人間の精神力の強さを教える永遠の教訓となっている。,
エックハルト・トール,えっくはると・とーる,現代のドイツ出身の精神的教師。29歳の時に深い精神的覚醒を体験し、現在の瞬間に完全に存在することの重要性を説いている。「パワー・オブ・ナウ」「ニュー・アース」などの著書で知られる。「今」に注意を向けることで苦しみから解放されると説いた。エゴの働きを客観視し、思考に同一化しないことの大切さを教えている。「あなたは自分の思考ではない」という洞察で多くの人々を導いている。仏教やヒンドゥー教の智慧を現代的な言葉で表現し、宗教の枠を超えた普遍的な教えとして多くの人々に受け入れられている。,現代
エルネスト・シャクルトン,えるねすとしゃくるとん,イギリスの南極探検家。1914年から1917年にかけて行われた南極横断遠征で、氷に閉ざされた船エンデュアランス号から乗組員全員を救出した奇跡的なリーダーシップで知られる。「楽観主義者は困難の中にチャンスを見出し、悲観主義者はチャンスの中に困難を見出す」「不可能を可能にするのは、決して諦めない心だ」など、極限状況での勇気とリーダーシップに関する名言を残している。22か月間の氷上での苦闘を通じて、部下への配慮と不屈の精神を示した。彼の言葉は、困難な状況でのリーダーシップと、決して諦めない精神の重要性を教えてくれる。,20世紀
チャールズ・リンドバーグ,ちゃーるずりんどばーぐ,アメリカの飛行家。1927年に単独無着陸でニューヨーク・パリ間の大西洋横断飛行を成功させ、世界的な英雄となった。「成功は準備と機会が出会った時に生まれる」「困難は、それを乗り越えた時に価値を持つ」など、挑戦と勇気に関する名言を残している。当時は非常に危険とされた長距離飛行に挑戦し、33時間30分の孤独な飛行を成功させた。この快挙は航空技術の発展を大きく促進した。彼の言葉は、新しい領域への挑戦と、困難を乗り越える勇気の重要性を教える永遠の教訓となっている。,20世紀
エドマンド・ヒラリー,えどまんどひらりー,ニュージーランドの登山家。1953年にシェルパのテンジン・ノルゲイと共に、世界で初めてエベレスト登頂に成功した。「頂上に立つことが重要なのではない。そこに至る過程が重要なのだ」「山は私たちが思っている以上に多くのことを教えてくれる」など、挑戦と自然への敬意に関する名言を残している。養蜂家として働きながら登山を続け、数々の困難を乗り越えて人類の夢を実現した。登頂後もネパールの教育や医療支援に尽力し、生涯にわたって社会貢献を続けた。彼の言葉は、目標達成への情熱と、他者への奉仕の重要性を教えてくれる。,20世紀
レイチェル・カーソン,れいちぇる・かーそん,アメリカの海洋生物学者、作家。1962年に発表した『沈黙の春』で農薬の危険性を告発し、現代の環境保護運動の先駆けとなった。DDTなどの化学物質が生態系に与える深刻な影響を科学的に証明し、環境問題への社会的関心を高めた。彼女の著作は環境保護法の制定にも大きな影響を与え、EPA(環境保護庁)設立のきっかけとなった。海への深い愛情と科学的洞察力で、人類と自然の調和を訴え続けた環境保護のパイオニア。,明
ジェーン・グドール,じぇーん・ぐどーる,イギリスの動物行動学者。タンザニアのゴンベ国立公園でチンパンジーの野外研究を60年以上続け、類人猿研究の第一人者となった。チンパンジーが道具を使用することを発見し、人間と動物の境界に関する従来の概念を覆した。個体に名前を付けて長期観察する手法により、チンパンジーの複雑な社会構造と感情を明らかにした。研究者から環境保護活動家へと転身し、ジェーン・グドール・インスティテュートを設立して世界的な保護活動を展開している。「希望がある限り、私たちは行動し続けなければならない」として、若い世代への環境教育にも力を入れている。,明
グレタ・トゥーンベリ,ぐれた・とぅーんべり,スウェーデンの環境活動家。15歳で始めた学校ストライキが世界的な気候変動抗議運動に発展し、若い世代の環境意識を覚醒させた。国連気候行動サミットでの演説「How dare you(よくもそんなことを)」で大人世代の無責任さを糾弾し、世界に衝撃を与えた。アスペルガー症候群を「スーパーパワー」と表現し、集中力と正義感で環境問題に取り組んでいる。金曜日の未来のためのストライキ(Fridays for Future)を世界的ムーブメントに発展させた。「私たちは絶滅の始まりにいるのに、お金と永続的な経済成長のおとぎ話しかできない」として、根本的な社会変革を求めている。,
アル・ゴア,ある・ごあ,アメリカの政治家、環境活動家。アメリカ副大統領を務めた後、気候変動問題の啓発活動に専念した。ドキュメンタリー映画『不都合な真実』で地球温暖化の現実を広く伝え、アカデミー賞とノーベル平和賞を受賞した。気候変動に関する政府間パネル(IPCC)と共にノーベル平和賞を受賞し、気候変動対策の国際的推進に貢献した。政治家としての経験を活かし、環境問題を政策課題として定着させることに成功した。「私たちは地球からの借り物で生きている。次世代に美しい地球を残すのは私たちの責任だ」として、持続可能な社会の実現を訴えている。,
南方熊楠,みなかた・くまぐす,日本の博物学者、民俗学者。明治時代に世界各地を遊学し、菌類研究で国際的な評価を得た。和歌山県の神社合祀反対運動を展開し、日本初の自然保護運動を主導した。粘菌の研究で知られ、生命現象の複雑さと美しさを追求した。民俗学と自然科学を融合させ、「事不思議」の概念で世界の神秘を表現した。萃点(すいてん)の思想で、すべての現象の相互関連性を説いた。「自然と人間の文化は切り離せない」として、文化的景観の保護の先駆けとなった。エコロジーと文化の統合を図った日本独自の自然思想家として、現在でも高く評価されている。,明
今西錦司,いまにし・きんじ,日本の生態学者、人類学者。世界で初めてニホンザルの群れの社会構造を解明し、霊長類学の基礎を築いた。「棲み分け理論」を提唱し、種の共存メカニズムを説明した。ダーウィンの自然選択説とは異なる独自の進化論を展開し、「種社会」の概念を提示した。京都大学山岳部を組織し、多くの探検家と研究者を育てた。生態系における種間関係の重要性を重視し、競争よりも協調を強調する生態学的思考を発展させた。「自然は征服するものではなく、共生するものである」として、東洋的な自然観に基づく生態学を構築した。,明
中村桂子,なかむら・けいこ,日本の生命科学者、科学ジャーナリスト。「生命誌」という新しい学問分野を提唱し、分析的な生物学から総合的な生命理解への転換を図った。DNAから読み解く生命の歴史と多様性を一般にもわかりやすく伝え、科学と文化の橋渡しを行った。JT生命誌研究館を設立し、研究と教育を統合した新しい科学館のモデルを作った。「生きている」ことの意味を科学と人文学の両面から探求し、生命尊重の文化の創造を目指している。女性科学者の先駆けとして、男性中心的な科学界で活躍し、後進の育成にも努めた。自然と人間の関係を生命の歴史から捉え直す視点を提供している。,
辻信一,つじ・しんいち,日本の環境運動家、文化人類学者。スローライフ運動の日本での先駆者として、消費社会への批判と持続可能な生活様式の提案を行っている。メキシコでの文化人類学的研究から、先住民の時間感覚と自然観を学び、近代的効率主義への疑問を深めた。ナマケモノ倶楽部を設立し、「しないこと」の価値とゆっくり生きることの重要性を提唱している。フェアトレードや地域通貨の普及を通じて、オルタナティブな経済システムの実現を目指している。「早く、より多く、より遠くへ」という近代の価値観に対して、「ゆっくり、小さく、美しく」という新しい価値観を提示している。,近代
黒澤明,くろさわあきら,日本の映画監督(1910-1998)。『七人の侍』『用心棒』『羅生門』などの代表作で世界的な評価を獲得し、「世界のクロサワ」と呼ばれた。完璧主義者として知られ、撮影現場では厳格な一面を見せたが、一方で茶目っ気のある人物でもあった。「映画は娯楽でなければならない。説教臭いものは映画ではない」「雨の日には雨の、晴れの日には晴れの表情がある」など、映画制作に対する深い哲学を語った。また「私は映画を作ることしかできない無能な人間だ」といった自虐的なユーモアも持ち合わせていた。その情熱と人間性は世界中の映画人に影響を与え続けている。,
山田洋次,やまだようじ,日本の映画監督(1931-)。『男はつらいよ』シリーズで国民的人気を博し、日本映画界の巨匠として活動を続けている。庶民の視点から描いた人情喜劇で多くの観客に愛された。「映画は人間を描くもの。技術や理論よりも、人間への愛情が大切」「寅さんは私の理想の人間像。自分も寅さんのように生きたい」など、人間愛に満ちた発言をしている。また「日本人は謙虚すぎる。もっと自信を持っていい」といった社会に対する温かい眼差しも示している。その優しさと洞察力に満ちた作品群は、日本映画の宝として多くの人々に愛され続けている。現在90歳を超えてなお現役で活動を続ける姿勢も尊敬を集めている。,
伊丹十三,いたみじゅうぞう,日本の映画監督・俳優・エッセイスト(1933-1997)。本名は池内義弘。『お葬式』『タンポポ』『マルサの女』などのユニークな着眼点の映画で日本映画界に新風を吹き込んだ。エッセイストとしても活動し、日常生活の些細な出来事を鋭い観察眼とユーモアで描いた。「日本人は形式を重んじるが、その本質を見失うことがある」「映画は観客との会話だ。一方的に話すのではなく、相手の反応を感じながら作る」など、社会や映画に対する独自の見解を示した。その知的で皮肉なユーモアと社会への鋭い洞察は現代でも多くの創作者に影響を与えている。,現代
ジョージ・ルーカス,じょーじるーかす,映画監督。『スター・ウォーズ』『インディ・ジョーンズ』シリーズを手がけ、現代映画の父と呼ばれる。「夢は実現させるためにある」「失敗は成功への第一歩だ」など、創造性と挑戦に関する名言を残している。革新的な映像技術と壮大な物語で、映画界の新しい時代を切り開いた。ILM(Industrial Light & Magic)を設立し、特殊効果技術の発展に大きく貢献した。彼の言葉は、創造性への挑戦と、新しい技術を追求することの重要性を教えてくれる。,現代
スティーブン・スピルバーグ,すてぃーぶんすぴるばーぐ,アメリカの映画監督。『ジョーズ』『E.T.』『ジュラシック・パーク』など数々の名作を手がけ、現代映画界の巨匠として知られる。「失敗は成功への最短距離だ」「夢は諦めなければ必ず叶う」など、創造性と挑戦に関する名言を残している。若い頃から映画への情熱を持ち続け、独学で映画制作を学んだ。アカデミー賞を何度も受賞し、映画技術の発展にも大きく貢献した。彼の言葉は、情熱を持って取り組むことの大切さと、決して諦めない精神の重要性を教えてくれる。,現代
ジェームズ・キャメロン,じぇーむずきゃめろん,映画監督。『タイタニック』『アバター』などの大作映画を手がけ、革新的な映像技術で映画界に革命をもたらした。「限界は想像力だけだ」「不可能を可能にするのは、諦めない心だ」など、創造性と挑戦に関する名言を残している。深海探査にも情熱を注ぎ、2012年には単独で世界最深部のマリアナ海溝に到達した。映画制作でも常に新しい技術に挑戦し、CGIやモーションキャプチャーの発展に大きく貢献した。彼の言葉は、創造性への挑戦と、技術革新の重要性を教える現代の教訓となっている。,現代
ボブ・ディラン,ぼぶでぃらん,アメリカのシンガーソングライター。フォークソング、ロックの世界に革命をもたらし、ノーベル文学賞も受賞した。「昨日の自分にとらわれるな」「時代は変わる」など、変化と挑戦に関する名言を残している。1960年代から現在まで、常に音楽的な冒険を続けている。社会的なメッセージを込めた楽曲で、多くの人々に影響を与えた。彼の言葉は、変化を恐れない勇気と、時代の流れに敏感であることの重要性を教えてくれる。,20世紀
ジミ・ヘンドリックス,じみへんどりっくす,アメリカのロックギタリスト。革新的なギター奏法で音楽界に革命をもたらし、「ギターの神様」と呼ばれる。「音楽は私の宗教だ」「限界は自分で決めるものだ」など、音楽への情熱と創造性に関する名言を残している。わずか4年間の活動期間で、ロック史に永遠に残る影響を与えた。左利きでありながら右利き用ギターを逆さまに弾く独特のスタイルで、多くのギタリストに影響を与えた。彼の言葉は、創造性への挑戦と、既存の枠にとらわれない自由な発想の重要性を教えてくれる。,
エルヴィス・プレスリー,える?ぃすぷれすりー,アメリカの歌手。「キング・オブ・ロックンロール」として知られ、音楽界に革命をもたらした。「夢は叶えるためにある」「人生は短い、楽しまなければ」など、夢と人生の楽しさに関する名言を残している。貧しい家庭で育ちながらも、音楽への情熱で世界的なスターになった。人種の壁を超えて多くの人々に愛され、音楽の可能性を広げた。彼の言葉は、夢を追い続ける勇気と、人生を楽しむことの大切さを教えてくれる。,
チャーリー・チャップリン,ちゃーりーちゃっぷりん,イギリス出身の俳優・映画監督・脚本家・作曲家(1889-1977)。サイレント映画時代から活躍し、「小さな放浪者」として親しまれた。身体を使ったコメディと社会風刺を組み合わせた独特の芸風で世界中の人々を魅了した。『モダン・タイムス』『独裁者』では機械文明や全体主義を鋭く批判。「人生をクローズアップで見れば悲劇だが、ロングショットで見れば喜劇だ」という名言に象徴されるように、人間の尊厳と愛を根底に据えた作品を作り続けた。彼のヒューマニズムあふれるユーモアは映画界の宝として永遠に語り継がれている。,明
グルーチョ・マルクス,ぐるーちょまるくす,アメリカのコメディアン・俳優(1890-1977)。マルクス兄弟の一員として活動し、独特の口ひげと眉毛、葉巻をくわえた姿で知られる。シニカルで機智に富んだ一言で観客を笑わせた。「私はこんなクラブには入りたくない。なぜなら私のような人間を会員にするクラブだからだ」という自虐的なジョークは特に有名。映画『ココナッツ』『馬鹿騒ぎ』などでナンセンスコメディの金字塔を築いた。その言葉遊びと社会への皮肉は、後のコメディアンたちに大きな影響を与え、現代のスタンダップコメディの原型を作り上げた功績は計り知れない。,現代
ウッディ・アレン,うっでぃあれん,アメリカの映画監督・脚本家・俳優・コメディアン(1935-)。本名はアラン・スチュワート・ケーニッグスバーグ。神経質で自虐的なユーモアで知られ、恋愛や人生の不条理を描いた作品で数々の賞を受賞。『アニー・ホール』『マンハッタン』などの代表作では、インテリジェントで皮肉な会話が印象的。「人生は悲劇か喜劇かに分かれる。喜劇は悲劇に笑いが加わったものだ」など、哲学的でありながら親しみやすい言葉で人生の本質を表現する。彼の内省的で知的なユーモアは、現代映画界において独特の地位を築いている。,現代
ロビン・ウィリアムズ,ろびんうぃりあむず,アメリカの俳優・コメディアン(1951-2014)。即興コメディの天才として知られ、『グッド・ウィル・ハンティング』でアカデミー助演男優賞を受賞。『いまを生きる』『パッチ・アダムス』『グッドモーニング・ベトナム』などで演技力も高く評価された。スタンダップコメディでは超高速の早口とエネルギッシュなパフォーマンスで観客を魅了した。「君は完璧である必要はない。ただ君である必要がある」「最も悲しい人々が、他人を幸せにしようと最も努力する」など、人生への深い洞察を込めた言葉を残している。その温かく人間味溢れるユーモアは世界中の人々に愛され続けている。,
田中角栄,たなかかくえい,日本の政治家(1918-1993)。第64・65代内閣総理大臣を務め、「日本列島改造論」を提唱した。高等小学校卒業という学歴ながら、持ち前の才覚と人情味で政界のトップに上り詰めた。「政治は数だ」「人の心を動かすのは論理ではなく、情だ」など、政治の本質を突いた名言を残した。また「私は勉強が嫌いだったから、勉強しなくても済む方法ばかり考えていた」「貧乏人は麦を食え、と言われた時代もあったが、今は米を食えと言いたい」など、庶民感覚を忘れない人間味溢れる発言で親しまれた。その人柄と実行力は現代でも多くの政治家の手本とされている。,現代
大平正芳,おおひらまさよし,日本の政治家(1910-1980)。第68・69代内閣総理大臣を務め、「アーウー宰相」の愛称で親しまれた。香川県出身で温厚な人柄と、独特の話し方が特徴的だった。記者会見などで「アー」「ウー」という相槌を多用することから付いたあだ名だが、これを自虐的にネタにすることもあった。「政治は結果がすべて」「真の国際化とは、お互いの違いを認め合うことから始まる」など、深い洞察に基づいた発言を残した。その誠実で人間味溢れる政治姿勢は多くの国民から愛され、現在でも理想的な政治家像として語り継がれている。在任中に急逝したが、その人柄は永く記憶されている。,
良寛,りょうかん,江戸時代後期の曹洞宗の僧侶・歌人。越後出身で、清貧な生活を送りながら子供たちと遊ぶ心優しい僧として知られる。「欲は少なく、足ることを知る」という生き方を実践した。和歌・漢詩・書に優れ、特に「たまに逢う人には何をか語らまし心もおよばぬ大空のそら」などの歌で知られる。「災難に逢う時節には災難に逢うがよく候」という達観した言葉も有名。托鉢で得た食物で質素に暮らし、自然と調和した生活を送った。その生き方は現代でも多くの人々に愛され、心の平安を求める人々の理想像となっている。,清
白隠,はくいん,江戸時代中期の臨済宗の僧侶。「駿河には過ぎたるものが二つあり、富士のお山に原の白隠」と謳われた名僧。公案「隻手の音声」で知られる。禅の修行体系を整備し、現在の臨済宗の基礎を築いた。「南無地獄大菩薩」の体験から禅病を克服し、健康法も説いた。民衆教化にも力を入れ、分かりやすい仮名法語で庶民に禅の教えを伝えた。「生まれては死ぬるなりけり おしなべて 釈迦も達磨も猫も杓子も」という歌で生死の平等を表現した。その教えは現在でも臨済宗の修行の基本となっている。,江戸時代
鑑真,がんじん,奈良時代の中国出身の僧侶。日本に仏教の戒律を伝えるため、5度の渡航失敗を経て6度目で来日を果たした。その過程で失明したが、意志を貫き通した。唐招提寺を建立し、正しい戒律の伝承に努めた。「戒律」の重要性を説き、僧侶の規範を確立した。医術にも優れ、薬草の知識を日本に伝えた。不屈の精神力と慈悲心で多くの弟子を育成した。その生涯は困難に屈しない信念の強さを示している。現在でも唐招提寺は多くの人々に尊敬され、その精神は日本仏教の基盤となっている。,唐
蓮如,れんにょ,室町時代の浄土真宗の僧侶。本願寺第8世宗主として真宗の発展に大きく貢献した。「御文」(おふみ)という手紙形式の教化文書を通じて、分かりやすく仏教の教えを民衆に伝えた。念仏の教えを庶民の言葉で説き、真宗の教団組織を全国に拡大した。「仏法は聞くが肝心」として、教えを聞くことの大切さを説いた。一向一揆の精神的指導者としても知られ、民衆の宗教的覚醒に大きな役割を果たした。その教化活動は現在でも真宗門徒の信仰の基盤となっている。,室町時代
清沢満之,きよざわまんし,明治時代の真宗大谷派の僧侶・思想家。近代仏教学の父として知られる。西洋哲学と仏教思想の統合を図り、合理的な仏教理解を提唱した。「精神主義」を唱え、内面的な宗教体験を重視した。「他力本願」の真意を現代的に解釈し、絶対他力の信仰を説いた。「我が信念」において自己の宗教的確信を表明した。弟子の育成にも力を入れ、近代真宗教学の基礎を築いた。「宗教は人生の究極の問題である」として宗教の本質を追求した。その思想は現代の仏教研究にも大きな影響を与えている。,明
ヒレル,ひれる,紀元前1世紀のユダヤ教の賢者・ラビ。タルムードの発展に大きく貢献し、ユダヤ教の口伝律法の体系化を進めた。「自分がされたくないことを他人にしてはならない」という黄金律で知られる。寛容で人道的な解釈を重視し、厳格主義のシャンマイ派と対立した。「もし私が私のためでなければ、誰が私のためにいるのか。しかし私が私のためだけにいるなら、私は何者か」という言葉で個人と社会の関係を表現した。貧しい出身でありながら学問を修め、謙虚で慈悲深い人柄で多くの弟子を育てた。その教えは現在でもユダヤ教の重要な基盤となっている。,元
スリ・ラマナ・マハルシ,すり・らまな・まはるし,19-20世紀のインドの聖者。17歳の時に死の恐怖を体験し、自己探求により悟りを開いた。「私は誰か」という根本的な問いを発し、真の自己の探求を説いた。無言の教えを重視し、沈黙の力で多くの求道者を導いた。「あるがままでいなさい」という簡潔な教えで知られる。アルナーチャラ山の麓で生涯を送り、世界中から訪れる求道者に教えを説いた。形式的な宗教儀式よりも直接的な自己実現を重視した。その教えは現在でも多くの人々に影響を与え、アドヴァイタ・ヴェーダーンタの現代的な表現として評価されている。,現代
パラマハンサ・ヨガナンダ,ぱらまはんさ・よがなんだ,19-20世紀のインドの聖者・ヨガ行者。クリヤ・ヨガの技法を西洋に伝え、東西の宗教思想の融合を図った。「あるヨギの自叙伝」は霊的古典として世界中で読まれている。Self-Realization Fellowship(自己実現親交会)を設立し、ヨガと瞑想の普及に努めた。「神は愛であり、愛は神である」という教えで知られる。科学的な方法で霊的真理を説明し、現代人にも理解しやすい形で古代の智慧を伝えた。その教えは現在のヨガブームの先駆けとなり、多くの人々に影響を与えている。,古代
ウィリアム・シェイクスピア,うぃりあむ・しぇいくすぴあ,イギリスの劇作家、詩人(1564-1616)。「ハムレット」「ロミオとジュリエット」「マクベス」など37の戯曲と154の十四行詩を残し、世界文学史上最も偉大な作家の一人とされる。人間の心理描写の巧みさと普遍的なテーマで、400年を超えて世界中で愛され続けている。「人生は歩き回る影に過ぎない」「生きるべきか死ぬべきか」などの名言でも知られる。英語圏の言語と文化に与えた影響は計り知れない。,4世紀
チャールズ・チャップリン,ちゃーるず・ちゃっぷりん,イギリス出身の映画監督、俳優、コメディアン(1889-1977)。「独裁者」「モダン・タイムス」「街の灯」など数多くの名作を生み出し、映画芸術の発展に大きく貢献した。「小さな放浪者」という愛らしいキャラクターで世界中の人々を魅了し、無声映画時代から映画界の巨匠として君臨した。ユーモアの中に深い人間愛と社会批判を込めた作品は、今なお多くの人々に感動を与え続けている。,
オーソン・ウェルズ,おーそん・うぇるず,アメリカの映画監督、俳優、脚本家(1915-1985)。「市民ケーン」で映画史に革命をもたらし、革新的な映像技術と物語構成で後の映画作家たちに大きな影響を与えた。演劇、ラジオ、映画の分野で多彩な才能を発揮し、特に1938年のラジオドラマ「宇宙戦争」では全米をパニックに陥れた。映画芸術の可能性を広げた天才として、映画史上最も重要な人物の一人とされる。,20世紀
マーサ・グレアム,まーさ・ぐれあむ,アメリカの舞踊家、振付師(1894-1991)。モダンダンスの母と呼ばれ、20世紀のダンス界に革命をもたらした。従来のバレエの美しさや優雅さとは対照的に、人間の内面的な感情や苦悩を表現する新しい舞踊技法を確立した。「血と記憶」「春の祭典」などの代表作で、身体表現の可能性を大きく拡げた。90年以上の長いキャリアの中で、舞踊芸術の発展に計り知れない貢献をした偉大な芸術家である。,20世紀
スタニスラフスキー,すたにすらふすきー,ロシアの演出家、俳優、演技理論家(1863-1938)。「スタニスラフスキー・システム」として知られる画期的な演技理論を確立し、現代演劇の基礎を築いた。俳優が役になりきるための心理的・身体的技法を体系化し、リアリズム演劇の発展に大きく貢献した。モスクワ芸術座を設立し、チェーホフの作品上演などで世界的な評価を得た。彼の理論は現在でも世界中の演劇学校で教えられ、演技の基本として受け継がれている。,現代
坂東玉三郎,ばんどうたまさぶろう,日本の歌舞伎役者(1950-)。五代目坂東玉三郎として、女形の最高峰に位置する名優。古典歌舞伎の伝統を受け継ぎながら、現代的な感性を取り入れた革新的な舞台を数多く創造している。その美しい容姿と卓越した演技力で、国内外から高い評価を受けている。歌舞伎の枠を超えて、映画、テレビ、バレエなど幅広い分野で活躍し、日本の伝統芸能の素晴らしさを世界に発信し続けている現代日本を代表する芸術家である。,現代
フェデリコ・フェリーニ,ふぇでりこ・ふぇりーに,イタリアの映画監督(1920-1993)。「8 1/2」「甘い生活」「道」などの代表作で、幻想的で詩的な映像美を追求し、映画芸術の新たな地平を切り開いた。現実と夢の境界を曖昧にした独特の映像世界で、映画表現の可能性を大きく広げた。カンヌ国際映画祭パルム・ドールを受賞し、世界中の映画作家に大きな影響を与えた。イタリア映画界の巨匠として、映画史に永遠に名を残す芸術家である。,
ピナ・バウシュ,ぴな・ばうしゅ,ドイツの舞踊家、振付家(1940-2009)。コンテンポラリーダンスの分野で革新的な作品を数多く創造し、舞踊芸術の概念を根本から変えた。タンツテアター(舞踊劇)というジャンルを確立し、踊りだけでなく演技、音楽、美術を総合した新しい舞台表現を生み出した。「カフェ・ミュラー」「春の祭典」などの代表作で、人間の感情や記憶を身体で表現する独特の世界を築いた。20世紀後半の舞踊界に最も大きな影響を与えた芸術家の一人である。,20世紀
ロバート・ウィルソン,ろばーと・うぃるそん,アメリカの演出家、劇作家(1941-)。実験的な舞台芸術の分野で革新的な作品を数多く手がけ、現代演劇の新たな可能性を切り開いた。時間の概念を独特に扱った長時間の舞台作品や、視覚的に美しい舞台美術で知られる。「アインシュタイン・オン・ザ・ビーチ」などの代表作で、従来の演劇の枠を超えた総合芸術を創造した。世界各地で作品を発表し、現代舞台芸術の発展に大きな貢献をしている前衛的な芸術家である。,現代
イングマール・ベルイマン,いんぐまーる・べるいまん,スウェーデンの映画監督、脚本家(1918-2007)。「第七の封印」「野いちご」「仮面/ペルソナ」などの代表作で、人間の内面的な苦悩や実存的なテーマを深く探求した。宗教、死、愛といった普遍的なテーマを独特の映像美で表現し、芸術映画の最高峰として世界的な評価を得た。カンヌ国際映画祭やベルリン国際映画祭で数多くの賞を受賞し、世界中の映画作家に大きな影響を与えた。20世紀映画界の巨匠として映画史に永遠に名を残している。,20世紀
ジュリー・テイモア,じゅりー・ていもあ,アメリカの演出家、映画監督(1952-)。ミュージカル「ライオンキング」の演出で世界的に知られ、舞台芸術に革命をもたらした。アフリカの文化と現代的な舞台技術を融合させた独創的な演出で、ブロードウェイに新たな息吹を吹き込んだ。映画「フリーダ」「テンペスト」なども手がけ、視覚的に美しい作品で評価を得ている。異文化を融合させた独特の美意識と創造性で、現代の舞台芸術と映画界に大きな影響を与えている多才な芸術家である。,現代
ジャン・コクトー,じゃん・こくとー,フランスの詩人、小説家、劇作家、映画監督(1889-1963)。文学、演劇、映画、絵画など多方面で才能を発揮し、20世紀フランス文化界の中心的存在として活躍した。「美女と野獣」「オルフェ」などの映画作品で、詩的で幻想的な映像美を追求し、映画芸術の新たな可能性を示した。シュルレアリスムの影響を受けながら独自の美学を確立し、芸術各分野の境界を越えた総合的な創造活動を行った。フランス文化勲章を受章し、多才な芸術家として永遠に記憶されている。,20世紀
ピーター・ブルック,ぴーたー・ぶるっく,イギリスの演出家(1925-2022)。「マハーバーラタ」「鳥たち」などの代表作で、演劇の本質を追求し続けた20世紀演劇界の巨匠。シェイクスピアの作品を現代的に解釈した革新的な演出で世界的な評価を得た。「何もない空間」という演劇理論を提唱し、装置や衣装を最小限に抑えた演劇の可能性を探求した。世界各地の演劇文化を研究し、異文化を融合させた独特の舞台を創造した。現代演劇の発展に計り知れない貢献をした偉大な芸術家である。,現代
セルゲイ・エイゼンシュテイン,せるげい・えいぜんしゅていん,ソビエト連邦の映画監督、映画理論家(1898-1948)。「戦艦ポチョムキン」「イワン雷帝」などの代表作で、モンタージュ理論を確立し、映画芸術の基礎を築いた。映画における編集技法の重要性を理論化し、映像の組み合わせによって新たな意味を創造する手法を開発した。ソビエト映画の黄金時代を代表する監督として、世界中の映画作家に大きな影響を与えた。映画を単なる娯楽から芸術の領域に押し上げた功績は計り知れない。,
ヴィム・ヴェンダース,う ゙ぃむ・う ゙ぇんだーす,ドイツの映画監督(1945-)。「ベルリン・天使の詩」「パリ、テキサス」などの代表作で、詩的で静謐な映像美を追求し、ヨーロッパ映画の新たな地平を切り開いた。ロードムービーの傑作を数多く手がけ、現代人の孤独と彷徨を美しい映像で描き出した。カンヌ国際映画祭パルム・ドールを受賞し、世界的な評価を確立した。映画と写真の境界を探求し、視覚芸術の新たな可能性を追求し続けている現代映画界の巨匠である。,現代
